region_code,sgg_name,year,net_rate,population,pagerank_lag1,closeness,house_age,childcare_pk,pop_density,seoul_dist_km,ln_pop,fertility,doctor_per1000,aging_ratio,youth_ratio,fiscal_indep,employ_rate,biz_count,sewer_supply,academy_pk,culture_facility_count,senior_fac_pk,hospital_bed,extinction_risk
11110,종로구,2017,14.253408283259027,154770.0,0.003868845997688,252.4461197316284,26.1,14.5,6472.269147370018,3.1,11.9497,0.646,18.4,16.672374023557385,22.335579662856738,50.77,,40490.0,100.0,1.9,64.0,1.9,21.8,1.339676019221826
11110,종로구,2018,-10.52494038480384,153065.0,0.0045686824449104,241.52870356500472,27.0,16.5,6400.82662557871,3.1,11.9386,0.606,18.6,17.208916415141182,22.28646466230253,47.37,,39952.0,100.0,1.8,63.0,2.0,22.5,1.2950533389013326
11110,종로구,2019,-11.06484235574063,151290.0,0.0039435191610941,231.94570130568945,26.9,17.4,6326.610045520983,3.1,11.927,0.648,19.2,17.88936552736118,22.30403659173381,47.41,,39679.0,100.0,1.7,64.0,2.0,22.2,1.2467762793275448
11110,종로구,2020,-10.857923204627,149384.0,0.0040282262827711,243.9705007724328,27.5,18.9,6246.934664864128,3.1,11.9143,0.522,20.2,18.76694447233658,22.425276968905848,46.96,,50531.0,100.0,1.6,66.0,1.9,22.4,1.1949349028000713
11110,종로구,2021,-15.37153639335651,144683.0,0.0039528383619483,227.7325123411653,28.1,21.3,6050.407269735602,3.1,11.8823,0.531,21.1,19.06015869066379,22.88020790135744,47.17,54.45,48361.0,100.0,1.5,68.0,1.9,25.3,1.2004206403887296
11110,종로구,2022,-10.135875908020289,141379.0,0.0038075014409343,204.6695822693945,29.6,22.6,5912.183498512453,3.1,11.8592,0.477,21.6,19.574904512660915,23.226057433866178,47.51,54.9,47595.0,100.0,1.8,68.0,1.9,26.3,1.1865221318879855
11110,종로구,2023,-10.4936987598356,139417.0,0.0039508497992201,193.00764986517385,34.0,22.8,5830.121734992575,3.1,11.8452,0.406,22.4,20.417019323186388,23.223687041845388,46.74,53.7,46977.0,100.0,1.8,71.0,1.9,26.8,1.137467064816441
11110,종로구,2024,-4.720390932222993,138336.0,0.0037546614601031,194.54308472765948,35.4,23.7,5784.915071194149,3.1,11.8374,0.448,17.1,21.34859076024491,23.340827110606707,42.04,53.65,46830.0,100.0,1.6,71.0,1.9,25.7,1.0933193376900416
11140,중구,2017,2.625110373958905,125709.0,0.0033598375045178,245.5940923428922,17.3,13.4,2909.170612176324,1.4,11.7417,0.824,10.5,16.69079627714581,22.341898019250657,58.4,,62936.0,100.0,1.0,11.666666666666666,1.7,12.5,1.338575922219045
11140,중구,2018,-0.8112944919467091,125725.0,0.0035880398361967,248.7352429419552,17.5,14.7,2909.07424383988,1.4,11.7419,0.737,10.4,17.157151265450267,22.556193627412,53.39,,60957.0,100.0,0.9,11.166666666666666,1.7,11.7,1.3146817486440128
11140,중구,2019,1.894254622694597,126171.0,0.0035589347513258,246.98320947106416,17.0,15.5,2919.301155492211,1.4,11.7454,0.78,9.7,18.060266937196843,22.72691246869353,54.93,,60127.0,100.0,0.9,12.166666666666666,1.6,10.7,1.2583929433448895
11140,중구,2020,-7.633343979559246,125240.0,0.0035250391302722,253.9836254383993,17.6,16.7,2897.028941528855,1.4,11.738,0.688,10.1,19.138301354987583,22.92939213196956,53.45,,76129.0,100.0,0.9,12.666666666666666,1.6,10.9,1.1980891985481246
11140,중구,2021,-9.869468322190384,122499.0,0.0034354003713775,234.0721975577877,17.9,18.0,2833.4657602596053,1.4,11.7159,0.634,10.2,19.60081632653061,23.42612244897959,55.28,55.5,70308.0,100.0,0.7,13.333333333333334,1.6,10.5,1.1951605514139352
11140,중구,2022,-6.036350955271221,120437.0,0.0034044682239073,199.04366650260607,18.4,18.9,2783.6916347996585,1.4,11.6989,0.606,10.2,20.452016805327226,23.55153689035022,55.26,57.75,68143.0,100.0,0.9,13.333333333333334,1.6,9.7,1.151550828190971
11140,중구,2023,10.10617251384859,121312.0,0.0034370663757726,198.4859076244432,20.9,20.6,2803.771436057318,1.4,11.7061,0.534,10.3,21.018357471993934,23.98341480303018,55.83,57.85,67202.0,100.0,0.9,13.0,1.6,8.2,1.14106988783434
11140,중구,2024,-3.650119458455004,120544.0,0.003806366220298,207.0997585434692,22.0,21.1,2785.6677666095743,1.4,11.6998,0.59,10.5,21.88892114977809,23.88402671201625,53.63,60.2,67098.0,100.0,0.9,13.166666666666666,1.5,7.7,1.0911468202834838
11170,용산구,2017,-6.405976584148263,229161.0,0.0049954020950305,276.54007672272803,29.6,13.8,10480.019905914289,3.0,12.3422,0.793,3.3,15.786212373779248,22.052085424285004,42.41,,20806.0,100.0,0.8,16.0,2.2,4.4,1.396920610349403
11170,용산구,2018,-2.0174760588474183,228999.0,0.0053582547996689,289.16108233932147,29.9,14.4,10472.711256019516,3.0,12.3415,0.747,3.4,16.102620087336245,22.26331877729257,41.08,,20813.0,100.0,0.7,18.0,2.2,4.3,1.3825898305084745
11170,용산구,2019,-2.510167490269821,228670.0,0.0056328218753567,279.93255071260205,29.7,14.4,10457.604934990735,3.0,12.34,0.713,3.4,16.61469972143385,22.48864088581412,39.18,,20254.0,100.0,0.7,18.0,2.0,4.0,1.353538809780749
11170,용산구,2020,5.638149886976177,230040.0,0.0056609819142824,296.5696748090762,29.5,14.9,10520.373365690932,3.0,12.346,0.634,3.4,17.130859281606323,22.840711003690647,39.33,,31507.0,100.0,0.7,18.0,1.9,4.0,1.333307957775071
11170,용산구,2021,-15.971976156409648,222953.0,0.0059293072980107,271.7057100539861,29.7,15.7,10196.264497502743,3.0,12.3147,0.664,3.6,17.259614090799,23.527723207477777,41.66,59.3,29680.0,100.0,0.6,17.0,2.0,4.0,1.363166237883631
11170,용산구,2022,-5.849531214269381,218650.0,0.0054560939529712,238.2151993972501,31.0,15.8,9998.80668255028,3.0,12.2952,0.596,3.7,17.57961317350481,24.02092832870648,41.88,60.0,28047.0,100.0,0.7,17.0,2.0,4.1,1.3664082418440084
11170,용산구,2023,-24.541287631772786,213151.0,0.0055580520227263,226.9683582181596,32.2,16.2,9747.353175025231,3.0,12.2698,0.547,3.9,18.38265650803183,23.844955712355503,41.67,60.95,28363.0,100.0,0.7,19.0,2.1,4.0,1.297144169665416
11170,용산구,2024,-43.67831879678594,203854.0,0.0051633721294045,228.7727002986531,33.3,16.2,9321.948234776148,3.0,12.2252,0.575,3.4,19.05373917735645,23.72127247308136,39.39,60.6,27854.0,100.0,0.7,19.0,2.1,4.0,1.244966788527882
11200,성동구,2017,14.386105351565575,304808.0,0.0064934101880505,296.44098471696884,13.1,12.8,18081.999835676423,5.1,12.6274,0.972,3.1,13.430377711944203,23.314272216371563,34.5,,27278.0,100.0,1.0,14.0,2.9,7.0,1.7359357060849598
11200,성동구,2018,7.611421674707434,308221.0,0.0071857649902964,306.34584550792346,13.4,12.9,18281.690926958858,5.1,12.6386,0.909,3.2,13.7563184977062,23.4068301419107,34.14,,27868.0,100.0,1.0,14.0,2.8,6.1,1.7015330188679243
11200,성동구,2019,-27.186105174998087,300889.0,0.0071610946988432,295.6780892399964,14.7,13.3,17847.018436845705,5.1,12.6145,0.855,3.4,14.477716108876995,23.398584200206056,32.5,,28343.0,100.0,1.0,14.0,2.8,6.5,1.616179238786098
11200,성동구,2020,-27.05786970799439,293556.0,0.0062549083046097,302.73444305829224,16.9,14.1,17410.351230628683,5.1,12.5898,0.783,3.5,15.391900039855974,23.409082392857265,32.68,,41582.0,100.0,1.0,15.0,2.7,6.1,1.5208702195467425
11200,성동구,2021,-21.83293122137137,285990.0,0.0063083519316794,281.87775744133603,17.5,14.4,16962.7351680027,5.1,12.5637,0.764,3.6,16.13792042406929,23.32590885727173,33.17,56.3,41665.0,100.0,1.0,15.0,2.6,6.6,1.445409832513596
11200,성동구,2022,-14.288256227758009,281000.0,0.0059614444238561,247.1592693648797,18.4,14.4,16706.031864407425,5.1,12.5461,0.723,3.8,16.898516375386567,23.30632275329981,34.25,59.2,41306.0,100.0,1.0,14.0,2.6,6.5,1.379193429504054
11200,성동구,2023,-13.285934215697232,277361.0,0.0060664637036648,244.6564763861654,19.2,15.2,16489.80636259524,5.1,12.5331,0.639,3.9,17.744319697723554,23.408037150006127,34.54,58.1,40674.0,100.0,1.2,16.0,2.6,6.6,1.3191848179453836
11200,성동구,2024,-14.002316667214776,273669.0,0.0062399355610246,248.24293081489407,22.9,15.4,16270.02603653619,5.1,12.5197,0.714,3.4,18.63412138707202,23.296305769722657,30.16,58.8,39264.0,100.0,1.1,15.0,2.5,6.5,1.2501960938112793
11215,광진구,2017,-1.7808069823289152,357703.0,0.0072170542564359,288.06445498729465,11.5,14.8,20963.366996299614,10.1,12.7875,0.749,3.5,12.1924831704426,25.65221523941583,28.06,,24688.0,100.0,1.2,9.0,1.7,6.4,2.1039368995483
11215,광진구,2018,-8.56679200920241,355559.0,0.0076059721468963,296.67880092548074,13.0,14.8,20837.721910406966,10.1,12.7814,0.713,3.5,12.724153448081898,25.68821014737316,27.08,,24535.0,100.0,1.2,9.0,1.6,6.5,2.018854162061801
